timestamp,Motor_RPM,Bearing_Temperature_C,Oil_Pressure_bar,Vibration_mm_s,Flow_Rate_L_min,Suction_Pressure_bar,Discharge_Pressure_bar,Motor_Current_A,Casing_Temperature_C,Ambient_Temperature_C,machine_status,anomaly_score,is_anomaly
2026-01-19 16:30:25.376112,1433.9213479817026,36.92390388468485,3.182822458739193,0.4495885693407758,100.65569684878515,1.576958536553552,4.150769907675455,46.45819120652287,40.53868320065009,26.16271775776917,NORMAL,-0.3918327445031241,False
2026-01-19 16:31:25.376112,1429.2430627549245,38.19986204833297,2.8338789880056665,0.6315073903076855,94.4220029396446,1.4466923741863569,3.778621853224028,41.29702389822467,43.696212654571454,22.14451753570056,NORMAL,-0.47512042977525604,False
2026-01-19 16:32:25.376112,1436.523930595728,37.91496357190982,2.886986395180484,0.3057142778814679,94.82915459604544,1.4618543565974638,3.992525217881367,43.40682070274088,42.23835544054253,27.323970994867125,NORMAL,-0.4203509534055051,False
2026-01-19 16:33:25.376112,1422.325320430516,40.09109685332945,2.954455795816773,0.4970622800134452,100.03304370091396,1.4488079636133633,4.095008384157305,44.49452040928059,41.64123200595413,26.08566559241413,NORMAL,-0.4110388222287872,False
2026-01-19 16:34:25.376112,1441.6670539056695,37.595928089570286,2.694996006412234,0.6083174183742913,104.68164597916304,1.3903848013321172,3.673752351645891,42.447583448462986,39.64995918495708,27.458663651589447,NORMAL,-0.4506226411537609,False
2026-01-19 16:35:25.376112,1493.745266358913,37.7769251035356,2.8798837943657496,0.4548433197559098,111.68951034902275,1.5383162713243643,4.241076646970953,45.004866781852165,41.074144522083486,24.018813094692188,NORMAL,-0.46804421925743334,False
2026-01-19 16:36:25.376112,1450.352071609939,36.57968582649342,3.059080995523736,0.5220699275380568,102.39988671557232,1.2839746321837069,4.038880025698549,43.55336060986855,40.00396688546291,25.64923540567162,NORMAL,-0.41316862177811065,False
2026-01-19 16:37:25.376112,1437.7884065340331,36.23530487764808,3.0730733827822974,0.5134499728655848,101.2249958645342,1.4803656166241497,3.9257810382451135,43.61019966735401,39.07717563631957,21.391884381001525,NORMAL,-0.3954542549702829,False
2026-01-19 16:38:25.376112,1450.138137667211,38.00819474488896,3.0128912246828223,0.678645657229946,100.90554018516576,1.4869537370096522,4.444796278121895,44.09191041825588,36.85618831963663,25.212725198411015,NORMAL,-0.4582412140127623,False
2026-01-19 16:39:25.376112,1430.972264782626,38.06100267492192,3.1827758950074507,0.5781368983999071,97.87045676784754,1.376483304181505,3.8203281673740266,47.61479816285185,36.42227676321211,23.707307431619974,NORMAL,-0.4440288905123598,False
